seed,experiment,config,recall,forgetting,drift,variance_mean,variance_min,variance_max,runtime_sec
42,u2_ablation,u2_enabled=True,0.2,0.8,4.240081012248993,0.00989584345370531,0.002289018128067255,0.009999923408031464,44.55410552024841
101,u2_ablation,u2_enabled=True,0.0,0.4,4.286132991313934,0.009896861389279366,0.0025787672493606806,0.009999958798289299,37.513856649398804
202,u2_ablation,u2_enabled=True,0.4,0.19999999999999996,4.1440393924713135,0.009900451637804508,0.0025852578692138195,0.009999936446547508,30.945067644119263
303,u2_ablation,u2_enabled=True,0.0,0.4,4.156304061412811,0.009895099326968193,0.0024765958078205585,0.009999977424740791,34.40771245956421
404,u2_ablation,u2_enabled=True,0.0,0.6,4.229892671108246,0.009891649708151817,0.002089224522933364,0.009999939240515232,26.50907874107361
505,u2_ablation,u2_enabled=True,0.2,0.6000000000000001,4.337450742721558,0.009900817647576332,0.003132245736196637,0.009999977424740791,24.17874503135681
606,u2_ablation,u2_enabled=True,0.2,0.6000000000000001,4.3474337458610535,0.00990502629429102,0.0034287269227206707,0.009999977424740791,35.37179636955261
707,u2_ablation,u2_enabled=True,0.4,0.0,4.293945848941803,0.009903088212013245,0.003098724177107215,0.009999977424740791,28.199685096740723
808,u2_ablation,u2_enabled=True,0.4,0.19999999999999996,4.196526765823364,0.009895643219351768,0.0022730196360498667,0.009999964386224747,25.391891479492188
909,u2_ablation,u2_enabled=True,0.4,0.19999999999999996,4.1511335372924805,0.009905285201966763,0.003233561525121331,0.009999977424740791,28.699854135513306
42,u2_ablation,u2_enabled=False,0.4,0.19999999999999996,4.5665019154548645,0.009898645803332329,0.0025422796607017517,0.009999891743063927,14.35562014579773
101,u2_ablation,u2_enabled=False,0.0,0.4,4.62728089094162,0.009890629909932613,0.001905329991132021,0.009999910369515419,20.2997305393219
202,u2_ablation,u2_enabled=False,0.4,0.19999999999999996,4.5716137290000916,0.009895327500998974,0.002496026223525405,0.009999937377870083,20.939769506454468
303,u2_ablation,u2_enabled=False,0.2,0.2,4.468788027763367,0.009889844805002213,0.0017069455934688449,0.009999977424740791,25.51985216140747
404,u2_ablation,u2_enabled=False,0.0,0.8,4.475386440753937,0.009894531220197678,0.002416792558506131,0.009999939240515232,30.955912351608276
505,u2_ablation,u2_enabled=False,0.4,0.19999999999999996,4.5410521030426025,0.009896541945636272,0.003050652565434575,0.009999977424740791,24.667705059051514
606,u2_ablation,u2_enabled=False,0.0,0.8,4.648341417312622,0.009898478165268898,0.002736319787800312,0.009999977424740791,22.33471655845642
707,u2_ablation,u2_enabled=False,0.4,0.4,4.573767900466919,0.00989555474370718,0.0026480485685169697,0.009999977424740791,25.47693181037903
808,u2_ablation,u2_enabled=False,0.2,0.39999999999999997,4.4096391797065735,0.009889976121485233,0.0019051161361858249,0.009999945759773254,22.175889492034912
909,u2_ablation,u2_enabled=False,0.2,0.6000000000000001,4.480746328830719,0.009896714240312576,0.0028690691106021404,0.009999977424740791,21.61879062652588
